时间,压力,功率
2017/11/21 17:19:00,15.3078,539.774
2017/11/21 17:19:30,15.3078,539.774
2017/11/21 17:20:00,15.3078,540.347
2017/11/21 17:20:30,15.3078,540.919
2017/11/21 17:21:00,15.3078,540.919
2017/11/21 17:21:30,15.3078,540.919
2017/11/21 17:22:00,15.3078,540.919
2017/11/21 17:22:30,15.4726,540.919
2017/11/21 17:23:00,15.4726,540.919
2017/11/21 17:23:30,15.4726,540.919
2017/11/21 17:24:00,15.4726,540.919
2017/11/21 17:24:30,15.6375,540.919
2017/11/21 17:25:00,15.6375,540.919
2017/11/21 17:25:30,15.6375,540.919
2017/11/21 17:26:00,15.6375,540.919
2017/11/21 17:26:30,15.6375,540.919
2017/11/21 17:27:00,15.6375,540.919
2017/11/21 17:27:30,15.6375,540.919
2017/11/21 17:28:00,15.6375,540.919
2017/11/21 17:28:30,15.6375,540.919
2017/11/21 17:29:00,15.6375,540.919
2017/11/21 17:29:30,15.6375,540.919
2017/11/21 17:30:00,15.6375,540.389
2017/11/21 17:30:30,15.6375,540.389
2017/11/21 17:31:00,15.6375,539.816
2017/11/21 17:31:30,15.6375,539.816
2017/11/21 17:32:00,15.6375,539.243
2017/11/21 17:32:30,15.6375,539.243
2017/11/21 17:33:00,15.6375,538.67
2017/11/21 17:33:30,15.6375,538.67
2017/11/21 17:34:00,15.6375,538.67
2017/11/21 17:34:30,15.6375,538.098
2017/11/21 17:35:00,15.6375,538.098
2017/11/21 17:35:30,15.6375,537.525
2017/11/21 17:36:00,15.4726,537.525
2017/11/21 17:36:30,15.4726,537.525
2017/11/21 17:37:00,15.4726,537.525
2017/11/21 17:37:30,15.4726,537.525
2017/11/21 17:38:00,15.4726,538.056
2017/11/21 17:38:30,15.4726,538.056
2017/11/21 17:39:00,15.4726,538.915
2017/11/21 17:39:30,15.4726,538.915
2017/11/21 17:40:00,15.4726,539.488
2017/11/21 17:40:30,15.4726,540.06
2017/11/21 17:41:00,15.4726,540.633
2017/11/21 17:41:30,15.4726,540.633
2017/11/21 17:42:00,15.4726,541.206
2017/11/21 17:42:30,15.4726,542.065
2017/11/21 17:43:00,15.4726,541.37
2017/11/21 17:43:30,15.4726,541.943
2017/11/21 17:44:00,15.4726,541.943
2017/11/21 17:44:30,15.4726,542.515
2017/11/21 17:45:00,15.4726,542.515
2017/11/21 17:45:30,15.4726,542.515
2017/11/21 17:46:00,15.4726,542.515
2017/11/21 17:46:30,15.6375,542.515
2017/11/21 17:47:00,15.6375,542.515
2017/11/21 17:47:30,15.6375,541.943
2017/11/21 17:48:00,15.6375,541.943
2017/11/21 17:48:30,15.6375,541.943
2017/11/21 17:49:00,15.6375,541.943
2017/11/21 17:49:30,15.6375,541.943
2017/11/21 17:50:00,15.8024,541.943
2017/11/21 17:50:30,15.8024,541.943
2017/11/21 17:51:00,15.8024,541.943
2017/11/21 17:51:30,15.8024,541.943
2017/11/21 17:52:00,15.8024,541.248
2017/11/21 17:52:30,15.8024,541.248
2017/11/21 17:53:00,15.8024,540.675
2017/11/21 17:53:30,15.8024,540.102
2017/11/21 17:54:00,15.8024,539.529
2017/11/21 17:54:30,15.8024,539.529
2017/11/21 17:55:00,15.8024,538.957
2017/11/21 17:55:30,15.8024,538.384
2017/11/21 17:56:00,15.6375,538.384
2017/11/21 17:56:30,15.6375,538.384
2017/11/21 17:57:00,15.6375,537.811
2017/11/21 17:57:30,15.6375,537.811
2017/11/21 17:58:00,15.6375,538.342
